university_name,country,teaching_score,international_score,research_score,grad_undergrad_ratio
University of Sussex,United Kingdom,30.6,79.8,34.8,54:46:00
University of Alberta,Canada,50.6,71.9,54.4,55:45:00
University of Sheffield,United Kingdom,44.6,68.2,46,50:50:00
University of Glasgow,United Kingdom,37.5,68.1,41,57:43:00
University of Cape Town,South Africa,34.3,73.9,41.1,53:47:00
Delft University of Technology,Netherlands,53.5,71.3,66.1,26 : 74
University of Montreal,Canada,54.5,79.5,47,57:43:00
Ghent University,Belgium,41.1,47.3,52.2,57:43:00
"Royal Holloway, University of London",United Kingdom,28.6,93.3,24.1,57:43:00
Tokyo Institute of Technology,Japan,56,24.9,58.9,0.602083333
Humboldt University of Berlin,Germany,51.3,64.5,54.5,
"University of California, Santa Cruz",United States of America,28.5,29.8,36.6,53:47:00
University of Basel,Switzerland,38.9,92.4,21.9,54:46:00
University of Bern,Switzerland,43,77.6,34.6,54:46:00
University of Utah,United States of America,42.1,23.3,41,45:55:00
Stony Brook University,United States of America,37.7,56.5,28.7,50:50:00
Eindhoven University of Technology,Netherlands,35.6,67.3,48,0.847916667
University of Lausanne,Switzerland,27.5,86.7,40.4,
Monash University,Australia,40.5,75.8,48.5,56:44:00
Trinity College Dublin,Republic of Ireland,30.3,89.4,23.5,57:43:00
Osaka University,Japan,61.8,21.1,56.5,31 : 69
Tohoku University,Japan,57.7,25.6,55.7,25 : 75
Hebrew University of Jerusalem,Israel,47.7,53,56.4,55:45:00
University of York,United Kingdom,36.7,72.7,38.8,
Indiana University,United States of America,46.8,37.7,34.5,53:47:00
Seoul National University,South Korea,64.6,16.3,50.8,
Aarhus University,Denmark,30.7,69.3,49,54:46:00
University of Florida,United States of America,46.7,25.9,59.9,54:46:00
Arizona State University,United States of America,38.2,26.1,39,50:50:00
Queen Mary University of London,United Kingdom,29,88.8,28.6,52:48:00
University of Southampton,United Kingdom,35.6,78.3,35.5,53:47:00
University of Geneva,Switzerland,34.9,97.5,39,61:39:00
Lancaster University,United Kingdom,32.6,78.6,35.7,52:48:00
Stockholm University,Sweden,25,48.8,36,62:38:00
University of Leeds,United Kingdom,44.6,64.8,43.9,58:42:00
University of Groningen,Netherlands,32.4,47.3,52.4,52:48:00
George Washington University,United States of America,44.2,38.3,33.6,56:44:00
University of Copenhagen,Denmark,37.8,74.8,31.6,67:33:00
University of Virginia,United States of America,37,26.4,42.2,52:48:00
Georgetown University,United States of America,52.5,29.1,40.4,53:47:00
University of Vienna,Austria,49.5,86.6,41.2,67:33:00
University of Nottingham,United Kingdom,40.2,72.6,40,54:46:00
University of Iowa,United States of America,47.7,21.9,42.1,52:48:00
École Normale Supérieure de Lyon,France,35.3,58.8,21.4,49:51:00
"University of California, Riverside",United States of America,27.8,30,30.9,51:49:00
Rensselaer Polytechnic Institute,United States of America,31.7,32.7,40.4,30 : 70
University of East Anglia,United Kingdom,26.5,68.5,26.1,58:42:00
Newcastle University,United Kingdom,34.2,76.2,28.4,50:50:00
William & Mary,United States of America,40,19.7,18.9,54:46:00
